	B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells
0	0.09758138	0.016430762	0.17313151	0.36270574	0.3501506
1	0.31248364	0.0478367	0.25952023	0.097554736	0.2826047
2	0.0390872	0.005584053	0.41609672	0.117616564	0.42161548
3	0.1051873	0.01990738	0.45750576	0.034153536	0.3832461
4	0.46212587	0.010422618	0.19718367	0.0	0.3302678
5	0.17253122	0.0015151378	0.13541573	0.40060374	0.2899342
6	0.14937194	0.029783955	0.59248275	0.0	0.22836134
7	0.27193817	0.046048794	0.44409937	0.226131	0.011782693
8	0.2490133	0.020534566	0.3450492	0.07673663	0.30866623
9	0.30456892	0.0038151508	0.24772437	0.21446364	0.22942784
10	0.20395647	0.07211554	0.45039368	0.007550291	0.2659841
11	0.009895667	0.025642304	0.34528545	0.26288542	0.35629115
12	0.3842132	0.015543442	0.33161274	0.032124873	0.2365057
13	0.027003622	0.01994959	0.57108754	0.0	0.38195926
14	0.10426673	0.06314924	0.63130444	0.04618184	0.15509783
15	0.23560552	0.03127895	0.51246566	0.12189727	0.09875264
16	0.1306097	0.037811592	0.6178939	0.043132413	0.17055239
17	0.08958909	0.12439141	0.67380714	0.0623777	0.049834702
18	0.053253643	0.0008650031	0.28450516	0.31722593	0.3441503
19	0.29234976	0.019147515	0.31265667	0.20547874	0.17036738
20	0.24479292	0.0165896	0.31248832	0.31335866	0.11277046
21	0.06589054	0.0063924966	0.27032295	0.37291	0.28448406
22	0.45001066	0.049167946	0.25379524	0.06049733	0.18652885
23	0.0	0.057312604	0.7630144	0.17967303	0.0
24	0.36802515	0.022454988	0.43583843	0.0	0.17368142
25	0.21689203	0.03543188	0.60998213	0.023308422	0.11438558
26	0.2606899	0.012062523	0.4619846	0.265263	0.0
27	0.19523773	0.023369279	0.29217276	0.26654726	0.222673
28	0.2762526	0.032406054	0.5871206	0.020811576	0.083409175
29	0.1460542	0.0059535136	0.45229843	0.0	0.39569387
30	0.2675706	0.030125627	0.44143173	0.10166144	0.15921056
31	0.09815823	0.08250365	0.6676623	0.12876758	0.022908159
32	0.040556032	0.045168724	0.61056083	0.1609853	0.14272915
33	0.23172887	0.004284995	0.15629496	0.35680628	0.25088495
34	0.18190897	0.032162257	0.39054856	0.026512371	0.3688678
35	0.23685725	0.019546656	0.42620394	0.07282843	0.24456379
36	0.05794661	0.0027008017	0.3679769	0.1410916	0.43028408
37	0.0188949	0.047741134	0.42184615	0.20307463	0.3084431
38	0.38126397	0.025099939	0.15951353	0.3820769	0.052045636
39	0.19634695	0.0013246402	0.33448395	0.036231786	0.43161273
40	0.14334731	0.010704254	0.22867957	0.12531883	0.49195004
41	0.2175476	0.03430929	0.6857601	0.0401429	0.022240117
42	0.26855332	0.0037983633	0.22704503	0.21497801	0.2856253
43	0.062408663	0.0214909	0.27607673	0.23049879	0.40952492
44	0.08392518	0.011739818	0.5167381	0.1921557	0.19544117
45	0.24079375	0.020842498	0.5886195	0.14974427	0.0
46	0.17498346	0.007701416	0.22403531	0.31527773	0.2780021
47	0.25601003	0.03161829	0.39683467	0.065971546	0.24956545
48	0.0665297	0.021287274	0.42801312	0.0	0.48416987
49	0.04955422	0.02748786	0.72989655	0.16276678	0.03029461
50	0.24921396	0.045075595	0.44061914	0.10001161	0.1650797
51	0.0	0.01418164	0.52315706	0.123177074	0.3394842
52	0.19277322	0.01601063	0.40777856	0.25989354	0.123544
53	0.048659742	0.0	0.11038314	0.28459615	0.556361
54	0.0023178807	0.003967974	0.37051177	0.09385117	0.52935123
55	0.06436342	0.022050306	0.6051926	0.21168794	0.096705735
56	0.0	0.027182108	0.25546786	0.081230074	0.63612
57	0.100672215	0.05653925	0.61966825	0.058589153	0.16453117
58	0.0410116	0.0	0.2730592	0.074945085	0.61098415
59	0.37405303	0.015644139	0.5768188	0.0	0.03348398
60	0.33174887	0.0048998785	0.1881185	0.17011946	0.30511326
61	0.40999284	0.0057147946	0.22594479	0.0	0.35834762
62	0.017622232	0.0	0.19753747	0.28464016	0.5002002
63	0.19750778	0.0056812256	0.22978707	0.36353213	0.20349178
64	0.20205544	0.011901849	0.36274284	0.27362046	0.14967947
65	0.2674613	0.027223252	0.4495536	0.0	0.25576186
66	0.4301884	0.02045038	0.06308833	0.2652603	0.22101256
67	0.104153976	0.024262598	0.6473306	0.19204022	0.03221265
68	0.395861	0.00948923	0.29421625	0.054997217	0.24543634
69	0.09678859	0.0315718	0.6714182	0.12775542	0.07246601
70	0.1379186	0.0022828311	0.37794384	0.09628353	0.38557118
71	0.07187566	0.05901277	0.5602582	0.30842146	0.0004319444
72	0.0	0.01026864	0.39654347	0.051849805	0.541338
73	0.29583645	0.0014048414	0.16824487	0.20080736	0.33370656
74	0.14027025	0.018243495	0.31413898	0.0	0.5273473
75	0.13265029	0.008082768	0.35446343	0.0	0.5048036
76	0.14393412	0.022504624	0.21187681	0.2950025	0.326682
77	0.0064948117	0.03859122	0.62029934	0.0	0.33461463
78	0.02206836	0.0	0.15391399	0.2123186	0.61169904
79	0.1828981	0.070542	0.464987	0.09028455	0.19128837
80	0.1512173	0.0034431163	0.29389954	0.2024289	0.34901115
81	0.22432688	0.011324182	0.480351	0.0	0.28399798
82	0.28927788	0.010494092	0.2665129	0.15434732	0.27936783
83	0.15999866	0.021777907	0.5054125	0.19611832	0.1166927
84	0.1706029	0.023585627	0.4302239	0.0	0.37558758
85	0.08909277	0.0009293575	0.27635545	0.23264869	0.40097377
86	0.5175828	0.0115742795	0.043509163	0.19500786	0.23232599
87	0.2935925	0.03565771	0.58278483	0.087964974	0.0
88	0.0	0.023811445	0.2812364	0.27284667	0.4221055
89	0.164101	0.0056818984	0.22134152	0.0	0.6088756
90	0.56316984	0.040530227	0.17414777	0.0	0.2221522
91	0.20572455	0.016243104	0.18545093	0.13414128	0.45844015
92	0.09171213	0.08572714	0.5687265	0.25383425	0.0
93	0.36822477	0.03594326	0.48469839	0.07391831	0.0372153
94	0.1474556	0.05895795	0.40967852	0.044878688	0.33902928
95	0.037444755	0.0626949	0.6398847	0.084654	0.1753217
96	0.21050353	0.0022929115	0.19123939	0.24827874	0.34768546
97	0.40708274	0.031868767	0.0	0.5503015	0.010747061
98	0.0	0.10996025	0.7312498	0.0	0.15878996
99	0.20460592	0.025094304	0.1114932	0.31718963	0.341617
